level,split,feature_set,engine,family,tweedie_power,config_id,seed,severity_mode,calibration,tail_mapper,fold_id,n_valid,rmse_prime,auc_freq,brier_freq,rmse_sev_pos,q99_ratio_pos,run_id,rmse_gap_secondary,rmse_gap_aux,pred_q99_test,pred_q90_test,pred_q99_oof_primary,q99_test_over_oof_primary,distribution_collapse_flag,tail_dispersion_flag
run,primary_time,base_v2,catboost,two_part_classic,1.5,cb_v2_c1,42,classic,none,piecewise_monotone_safe,-1,40000,556.4381647269568,0.6492551839418774,0.054126131787131646,2144.9827615332274,1.2605103651423784,base_v2|catboost|two_part_classic|1.5|cb_v2_c1|42|classic|none|piecewise_monotone_safe,,,433.6792826943877,212.70883609116945,560.4348493079099,0.7738264014629807,0,0
run,primary_time,base_v2,catboost,two_part_classic,1.5,cb_v2_c1,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,556.5735031518435,0.6492551839418774,0.054126131787131646,2373.984698260971,1.2530047931023764,base_v2|catboost|two_part_classic|1.5|cb_v2_c1|42|weighted_tail|none|piecewise_monotone_safe,,,416.2266412049374,209.58787103362778,588.1448463042451,0.7076941060019506,0,1
run,primary_time,base_v2,catboost,two_part_tweedie,1.3,cb_v2_c1,42,classic,none,piecewise_monotone_safe,-1,40000,555.6216128257606,0.6492551839418774,0.054126131787131646,2183.5455891849183,1.1815777379176,base_v2|catboost|two_part_tweedie|1.3|cb_v2_c1|42|classic|none|piecewise_monotone_safe,,,370.2667283798302,199.66591864706422,568.8428074881673,0.6509122089717769,0,1
run,primary_time,base_v2,catboost,two_part_tweedie,1.5,cb_v2_c1,42,classic,none,piecewise_monotone_safe,-1,40000,569.1158439217239,0.6492551839418774,0.054126131787131646,2208.298738313563,1.2065878601833961,base_v2|catboost|two_part_tweedie|1.5|cb_v2_c1|42|classic|none|piecewise_monotone_safe,,,368.7830220417001,200.7517373933495,653.2675268646748,0.5645206701328872,1,1
run,primary_time,base_v2,catboost,two_part_tweedie,1.3,cb_v2_c1,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,566.040560452461,0.6492551839418774,0.054126131787131646,2305.6001807525126,1.349570498107142,base_v2|catboost|two_part_tweedie|1.3|cb_v2_c1|42|weighted_tail|none|piecewise_monotone_safe,,,327.03405354521925,199.17333062543898,691.0639210363433,0.47323271204028083,1,1
run,primary_time,base_v2,catboost,two_part_tweedie,1.5,cb_v2_c1,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,565.2621342847573,0.6492551839418774,0.054126131787131646,2300.0533667489162,1.2926248329723835,base_v2|catboost|two_part_tweedie|1.5|cb_v2_c1|42|weighted_tail|none|piecewise_monotone_safe,,,340.05582757200915,202.3903301784781,699.5646160931874,0.4860963801615591,1,1
run,primary_time,base_v2,catboost,two_part_classic,1.5,cb_v2_c2,42,classic,none,piecewise_monotone_safe,-1,40000,556.2504728858921,0.6472606881455827,0.05414058927181195,2118.287020281605,1.200442098377762,base_v2|catboost|two_part_classic|1.5|cb_v2_c2|42|classic|none|piecewise_monotone_safe,,,426.6821432305727,213.98391232304883,592.8525334205373,0.7197104156218688,0,1
run,primary_time,base_v2,catboost,two_part_classic,1.5,cb_v2_c2,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,555.0237600175298,0.6472606881455827,0.05414058927181195,2235.9919960690804,1.1925602139786784,base_v2|catboost|two_part_classic|1.5|cb_v2_c2|42|weighted_tail|none|piecewise_monotone_safe,,,422.3030913999156,211.89044423783434,585.5159259282316,0.7212495385679374,0,1
run,primary_time,base_v2,catboost,two_part_tweedie,1.3,cb_v2_c2,42,classic,none,piecewise_monotone_safe,-1,40000,559.8651139490651,0.6472606881455827,0.05414058927181195,2192.0720807865023,1.3234421354563828,base_v2|catboost|two_part_tweedie|1.3|cb_v2_c2|42|classic|none|piecewise_monotone_safe,,,393.70865304617,203.82493427530994,569.131924958519,0.6917704591512158,0,1
run,primary_time,base_v2,catboost,two_part_tweedie,1.5,cb_v2_c2,42,classic,none,piecewise_monotone_safe,-1,40000,558.5788575294715,0.6472606881455827,0.05414058927181195,2161.300807060014,1.165187422105221,base_v2|catboost|two_part_tweedie|1.5|cb_v2_c2|42|classic|none|piecewise_monotone_safe,,,355.10792943694895,197.7458605803708,617.0342878255798,0.5755076118838458,1,1
run,primary_time,base_v2,catboost,two_part_tweedie,1.3,cb_v2_c2,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,578.8445973713484,0.6472606881455827,0.05414058927181195,2404.6593078383225,1.4987591786910406,base_v2|catboost|two_part_tweedie|1.3|cb_v2_c2|42|weighted_tail|none|piecewise_monotone_safe,,,333.3574187559936,197.52057120628206,766.1115757487163,0.4351290716762834,1,1
