run_id,feature_set,engine,family,config_id,seed,severity_mode,calibration,tail_mapper,rmse_aux_blocked5,rmse_primary_time,rmse_secondary_group,q99_aux_blocked5,q99_primary_time,q99_secondary_group,tail_dispersion_flag,distribution_collapse_flag,rmse_gap_secondary,rmse_gap_aux,rmse_weighted,rmse_split_std,gap_penalty,tail_penalty,selection_score,accepted_secondary,accepted_aux,accepted_tail,accepted_collapse,accepted_dispersion,accepted,decision_reason,rank
base_v2|lightgbm|two_part_classic|lgb_v2_c1|42|classic|none|isotonic,base_v2,lightgbm,two_part_classic,lgb_v2_c1,42,classic,none,isotonic,543.30237431434,544.4564476503384,542.7139053842161,0.2856936232444078,0.33607477660934,0.3112267277768236,0.0,0.0,-1.7425422661223138,-1.1540733359984188,543.9348281967142,0.7237736367897208,0.0,0.6639252233906601,546.1374714827831,True,True,True,True,True,True,accepted,12
base_v2|catboost|two_part_tweedie|cb_v2_c1|42|weighted_tail|none|isotonic,base_v2,catboost,two_part_tweedie,cb_v2_c1,42,weighted_tail,none,isotonic,542.6112992972517,544.4550210297265,542.063204765617,0.2987985290689587,0.328732583506271,0.3126336312411291,0.0,0.0,-2.3918162641094796,-1.843721732474819,543.7000995170333,1.023094569521877,0.0,0.671267416493729,546.1455889854091,True,True,True,True,True,True,accepted,13
base_v2|lightgbm|two_part_tweedie|lgb_v2_c1|42|classic|none|isotonic,base_v2,lightgbm,two_part_tweedie,lgb_v2_c1,42,classic,none,isotonic,543.2387038569071,544.4719892639923,542.7518790558671,0.2900825278822293,0.3016862631957932,0.3546750128692332,0.0,0.0,-1.7201102081252202,-1.2332854070851909,543.9429744113045,0.7239375671618173,0.0,0.6983137368042067,546.2317119286864,True,True,True,True,True,True,accepted,14
base_v2|catboost|two_part_tweedie|cb_v2_c1|42|classic|none|isotonic,base_v2,catboost,two_part_tweedie,cb_v2_c1,42,classic,none,isotonic,542.5755442084791,544.6004485727689,542.0410612924709,0.2832929476786524,0.3211175105546817,0.314721112595087,0.0,0.0,-2.559387280297983,-2.024904364289796,543.7848354620659,1.1023395787836172,0.0,0.6788824894453183,546.3087963697669,True,True,True,True,True,True,accepted,15
base_v2|catboost|two_part_classic|cb_v2_c1|42|classic|none|isotonic,base_v2,catboost,two_part_classic,cb_v2_c1,42,classic,none,isotonic,542.6810860398818,544.6091875250565,541.9570244302334,0.2945035848413014,0.3102396366709968,0.3204851251424863,0.0,0.0,-2.652163094823095,-1.9281014851746932,543.7895396833158,1.1193157450097762,0.0,0.6897603633290033,546.3534274003956,True,True,True,True,True,True,accepted,16
base_v2|xgboost|direct_tweedie|xgb_v2_c1|42|classic|none|none,base_v2,xgboost,direct_tweedie,xgb_v2_c1,42,classic,none,none,543.4177200406327,544.7015730162075,543.0383435716773,0.3142903836850916,0.3148977861721194,0.3205800162825384,0.0,0.0,-1.6632294445302023,-1.2838529755747459,544.1763491809652,0.711691034184036,0.0,0.6851022138278806,546.422872991173,True,True,True,True,True,True,accepted,17
base_v2|lightgbm|direct_tweedie|lgb_v2_c1|42|classic|none|none,base_v2,lightgbm,direct_tweedie,lgb_v2_c1,42,classic,none,none,543.8171641452507,544.9347380038494,543.4777890454624,0.3262978895324568,0.3062870681042525,0.355594721166819,0.0,0.0,-1.4569489583869881,-1.1175738585986892,544.4757121333821,0.6224367040666696,0.0,0.6937129318957476,546.6768219911714,True,True,True,True,True,True,accepted,18
base_v2|catboost|direct_tweedie|cb_v2_c1|42|classic|none|none,base_v2,catboost,direct_tweedie,cb_v2_c1,42,classic,none,none,542.9583416077342,545.1071884251388,542.262775213249,0.3332774046052337,0.3479974645492917,0.3177503084217647,0.0,0.0,-2.844413211889787,-2.14884681740466,544.2159787601502,1.2106950149847515,0.0,0.6520025354507083,546.7540063600155,True,True,True,True,True,True,accepted,19
base_v2|catboost|two_part_classic|cb_v2_c1|42|weighted_tail|isotonic|isotonic,base_v2,catboost,two_part_classic,cb_v2_c1,42,weighted_tail,isotonic,isotonic,542.5776475132291,544.0103583350945,542.201929256228,0.2978725017466918,0.2943757938884307,0.3194921605988826,0.0,0.0,-1.8084290788664248,-1.4327108218653848,543.4337658960413,0.7791904802794979,0.0,0.7056242061115693,545.7822192715299,True,True,False,True,True,False,tail_q99,20
base_v2|xgboost|two_part_tweedie|xgb_v2_c1|42|weighted_tail|none|isotonic,base_v2,xgboost,two_part_tweedie,xgb_v2_c1,42,weighted_tail,none,isotonic,542.8424928568071,544.3386895665582,542.3039597475941,0.3030620118750278,0.2996456440651272,0.3143158282806654,0.0,0.0,-2.034729818964024,-1.496196709751075,543.7073140963028,0.8607973009670795,0.0,0.7003543559348728,546.1037979618652,True,True,False,True,True,False,tail_q99,21
base_v2|xgboost|two_part_tweedie|xgb_v2_c1|42|weighted_tail|isotonic|isotonic,base_v2,xgboost,two_part_tweedie,xgb_v2_c1,42,weighted_tail,isotonic,isotonic,542.8418908728569,544.3574408201247,542.4229510477772,0.3030620118750278,0.2996456440651272,0.3143158282806654,0.0,0.0,-1.9344897723474332,-1.5155499472678002,543.743210373565,0.8309735186994703,0.0,0.7003543559348728,546.1173264024268,True,True,False,True,True,False,tail_q99,22
base_v2|lightgbm|two_part_classic|lgb_v2_c1|42|weighted_tail|isotonic|isotonic,base_v2,lightgbm,two_part_classic,lgb_v2_c1,42,weighted_tail,isotonic,isotonic,542.9975051078491,544.3637800325296,542.7338915517093,0.29050060337416,0.2973557159609261,0.3353752309608124,0.0,0.0,-1.6298884808202274,-1.3662749246805106,543.8328610976635,0.7143556332420484,0.0,0.7026442840390739,546.1252385326927,True,True,False,True,True,False,tail_q99,23
base_v2|lightgbm|two_part_tweedie|lgb_v2_c1|42|weighted_tail|isotonic|isotonic,base_v2,lightgbm,two_part_tweedie,lgb_v2_c1,42,weighted_tail,isotonic,isotonic,543.0571731178172,544.3934714569829,542.8360274176022,0.2839207161696836,0.2885911718585905,0.3031369465401869,0.0,0.0,-1.557444039380698,-1.3362983391656371,543.8815378982318,0.688010869405654,0.0,0.7114088281414095,546.1760681206397,True,True,False,True,True,False,tail_q99,24
base_v2|lightgbm|two_part_classic|lgb_v2_c1|42|weighted_tail|none|isotonic,base_v2,lightgbm,two_part_classic,lgb_v2_c1,42,weighted_tail,none,isotonic,543.1512271914613,544.4743058652285,542.7099104409187,0.29050060337416,0.2973557159609261,0.3353752309608124,0.0,0.0,-1.7643954243097824,-1.3230786737672133,543.9229649793016,0.7496954096025604,0.0,0.7026442840390739,546.2418472466012,True,True,False,True,True,False,tail_q99,25
base_v2|catboost|two_part_classic|cb_v2_c1|42|weighted_tail|none|isotonic,base_v2,catboost,two_part_classic,cb_v2_c1,42,weighted_tail,none,isotonic,542.5785022909015,544.5074232931328,542.0892165284316,0.2978725017466918,0.2943757938884307,0.3194921605988826,0.0,0.0,-2.4182067647011536,-1.9289210022312773,543.7344437898579,1.0439168095341198,0.0,0.7056242061115693,546.2814419122875,True,True,False,True,True,False,tail_q99,26
base_v2|lightgbm|two_part_tweedie|lgb_v2_c1|42|weighted_tail|none|isotonic,base_v2,lightgbm,two_part_tweedie,lgb_v2_c1,42,weighted_tail,none,isotonic,543.21769803299,544.5013453512822,542.8118224429104,0.2839207161696836,0.2885911718585905,0.3031369465401869,0.0,0.0,-1.6895229083718277,-1.2836473182921964,543.970893671864,0.7201059405311628,0.0,0.7114088281414095,546.289495197616,True,True,False,True,True,False,tail_q99,27
