level,split,feature_set,engine,family,tweedie_power,config_id,seed,severity_mode,calibration,tail_mapper,fold_id,n_valid,rmse_prime,auc_freq,brier_freq,rmse_sev_pos,q99_ratio_pos,run_id,rmse_gap_secondary,rmse_gap_aux,pred_q99_test,pred_q90_test,pred_q99_oof_primary,q99_test_over_oof_primary,distribution_collapse_flag,tail_dispersion_flag
run,aux_blocked5,robust_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,42,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,553.1764007743344,0.6295431125498905,0.054361084539238894,2076.759488593816,1.2083252385443424,robust_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|42|weighted_tail|isotonic|piecewise_monotone_safe,-6.68200143168292,-3.08849570849884,423.59175235819083,198.90844816002846,526.8214811096581,0.8040517851815159,0,0
run,primary_time,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,42,weighted_tail,none,piecewise_monotone_safe,-1,40000,554.4044415069404,0.6098445346372124,0.05457394192155549,2317.618626112528,1.2896301711790013,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|42|weighted_tail|none|piecewise_monotone_safe,-2.9143984676156833,1.0033515912654138,405.54679558636377,196.37596210527985,527.2630856648958,0.7691545390001201,0,0
run,primary_time,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,42,weighted_tail,isotonic,piecewise_monotone_safe,-1,40000,554.9515072065719,0.6056792483212046,0.05455864913197529,2317.618626112528,1.2896301711790013,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|42|weighted_tail|isotonic|piecewise_monotone_safe,-4.267919462543546,-0.4593870986479942,406.4263866976388,206.89378140259797,509.77173546083816,0.797271324449218,0,0
run,secondary_group,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,42,weighted_tail,none,piecewise_monotone_safe,-1,50000,551.4900430393247,0.6377378766070998,0.0543012893582769,2051.637770653203,1.1035938993555259,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|42|weighted_tail|none|piecewise_monotone_safe,-2.9143984676156833,1.0033515912654138,438.58001654654583,196.89203615703073,527.2630856648958,0.8318048967783933,0,0
run,secondary_group,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,42,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,550.6835877440284,0.6340534663360923,0.054277127358057106,2051.637770653203,1.1035938993555259,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|42|weighted_tail|isotonic|piecewise_monotone_safe,-4.267919462543546,-0.4593870986479942,411.97567258620995,200.50503377802062,509.77173546083816,0.8081571494225358,0,0
run,aux_blocked5,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,42,weighted_tail,none,piecewise_monotone_safe,-1,50000,555.4077930982058,0.6332209952779544,0.054350750390450286,2230.2372659415228,1.1744594235435855,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|42|weighted_tail|none|piecewise_monotone_safe,-2.9143984676156833,1.0033515912654138,430.2465245573187,197.0020763360674,527.2630856648958,0.8159997091675096,0,0
run,aux_blocked5,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,42,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,554.4921201079239,0.6290649199714133,0.05435795889121585,2230.2372659415228,1.1744594235435855,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|42|weighted_tail|isotonic|piecewise_monotone_safe,-4.267919462543546,-0.4593870986479942,418.4488892352569,203.47908466585073,509.77173546083816,0.8208554145454443,0,0
run,primary_time,base_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,40000,555.2279084541767,0.5890131265148311,0.05471188261015815,2667.3906848528336,1.1602754377275897,base_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-1.4739505561730084,-0.07319293462262522,407.63693826690997,186.1613890358746,503.0490735670686,0.8103323506321141,0,0
run,primary_time,base_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,40000,556.533736402281,0.5828116893212524,0.05472565478280271,2667.3906848528336,1.1602754377275897,base_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-4.304898888633147,-1.8323030114080439,405.39982805505895,193.18273526802628,494.47027965051666,0.8198669257565667,0,0
run,secondary_group,base_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,50000,553.7539578980037,0.6366453159098153,0.05431392794051233,2030.6928960816003,1.0874387799458802,base_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-1.4739505561730084,-0.07319293462262522,435.2549851801285,194.5793344305133,503.0490735670686,0.8652336482677141,0,0
run,secondary_group,base_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,552.2288375136478,0.6323951427770232,0.0542793985538698,2030.6928960816003,1.0874387799458802,base_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-4.304898888633147,-1.8323030114080439,415.7078573682698,197.9269171298828,494.47027965051666,0.840713536235353,0,0
run,aux_blocked5,base_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,50000,555.1547155195541,0.6257294911499587,0.05446259743749706,2122.657351268957,1.2539771011024765,base_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-1.4739505561730084,-0.07319293462262522,424.18603351835617,188.30970433922943,503.0490735670686,0.8432299268747225,0,0
