level,split,engine,config_id,seed,severity_mode,calibration,fold_id,rmse_prime,auc_freq,brier_freq,rmse_sev_pos,q99_ratio_pos,n_valid
fold,primary_time,catboost,cb_c1,42,classic,none,1,492.66449365910864,0.6527989046125207,0.05482509522494686,1268.3122018461313,0.33974711737854113,
fold,primary_time,catboost,cb_c1,42,classic,none,2,609.7236408055406,0.653041361889287,0.05230310848816917,1852.5949357817606,0.2146708329334303,
fold,primary_time,catboost,cb_c1,42,classic,none,3,551.7031571479013,0.6565122509348664,0.052908412505306306,1529.5781204304533,0.301241570160747,
fold,primary_time,catboost,cb_c1,42,classic,none,4,509.0347984608097,0.6426669911921747,0.05636421539592362,1196.3425875127514,0.3445728722019302,
fold,primary_time,catboost,cb_c1,42,weighted_tail,none,1,493.00919445412654,0.6527989046125207,0.05482509522494686,1330.8302598522844,0.47699682640735,
fold,primary_time,catboost,cb_c1,42,weighted_tail,none,2,609.6681251903244,0.653041361889287,0.05230310848816917,1843.288166887816,0.2870695676792753,
fold,primary_time,catboost,cb_c1,42,weighted_tail,none,3,551.6164220805878,0.6565122509348664,0.052908412505306306,1524.0767438221897,0.3861749687157879,
fold,primary_time,catboost,cb_c1,42,weighted_tail,none,4,509.60591647936513,0.6426669911921747,0.05636421539592362,1249.9495532230512,0.47137753348950406,
fold,primary_time,lightgbm,lgb_c1,42,classic,none,1,508.0082653014145,0.5786803424917264,0.059715517213082686,1349.343507583022,0.5493281122058923,
fold,primary_time,lightgbm,lgb_c1,42,classic,none,2,619.8834167884648,0.6068153940754345,0.056032787169141327,1899.7071398156384,0.27404835391985843,
fold,primary_time,lightgbm,lgb_c1,42,classic,none,3,560.7057180102805,0.6034832840319249,0.056021735600527305,1577.8274948350845,0.4353377295464613,
fold,primary_time,lightgbm,lgb_c1,42,classic,none,4,518.0039951211179,0.5869839393095334,0.05913808304542439,1246.9793912261164,0.46545804211239794,
fold,primary_time,lightgbm,lgb_c1,42,weighted_tail,none,1,508.5175117716366,0.5786803424917264,0.059715517213082686,1369.8969781587539,0.5492400760625723,
fold,primary_time,lightgbm,lgb_c1,42,weighted_tail,none,2,619.9633277146218,0.6068153940754345,0.056032787169141327,1905.1009215304023,0.2799529899636408,
fold,primary_time,lightgbm,lgb_c1,42,weighted_tail,none,3,560.7505240839347,0.6034832840319249,0.056021735600527305,1592.2909698512044,0.4143885431802743,
fold,primary_time,lightgbm,lgb_c1,42,weighted_tail,none,4,518.0317284043834,0.5869839393095334,0.05913808304542439,1250.2658110616298,0.4836192090136183,
fold,primary_time,xgboost,xgb_c1,42,classic,none,1,505.67950347967667,0.586373622506435,0.05907809757087709,1321.262409600446,0.4848014943186579,
fold,primary_time,xgboost,xgb_c1,42,classic,none,2,616.2718665150071,0.6143758619138492,0.05509968222809966,1894.815367029835,0.256508594164919,
fold,primary_time,xgboost,xgb_c1,42,classic,none,3,559.4844062070375,0.6121624713958811,0.055302850842224215,1564.8496843458418,0.3607142181020836,
fold,primary_time,xgboost,xgb_c1,42,classic,none,4,515.7850002575746,0.5891542036457014,0.05868349206297598,1242.9845177221582,0.4443074575079215,
fold,primary_time,xgboost,xgb_c1,42,weighted_tail,none,1,505.92957713800524,0.586373622506435,0.05907809757087709,1319.5835724266096,0.44417300713396957,
fold,primary_time,xgboost,xgb_c1,42,weighted_tail,none,2,616.1428507699129,0.6143758619138492,0.05509968222809966,1901.971195845739,0.25412828896242307,
fold,primary_time,xgboost,xgb_c1,42,weighted_tail,none,3,560.1968283075055,0.6121624713958811,0.055302850842224215,1569.356013196379,0.3427214118387312,
fold,primary_time,xgboost,xgb_c1,42,weighted_tail,none,4,515.9121482927233,0.5891542036457014,0.05868349206297598,1242.6606617101868,0.45537737495153985,
fold,secondary_group,catboost,cb_c1,42,classic,none,1,590.1588301539764,0.6494590210383593,0.05312085090425034,1694.6744895204647,0.32325181494472743,
fold,secondary_group,catboost,cb_c1,42,classic,none,2,578.8026839959297,0.6636694269704186,0.057176994742045496,1516.5450045370033,0.3396524509137806,
fold,secondary_group,catboost,cb_c1,42,classic,none,3,476.42417754353016,0.6588681758280925,0.052390655414401716,1243.6358544351856,0.37439660390199725,
fold,secondary_group,catboost,cb_c1,42,classic,none,4,543.1479510808535,0.6679283444798271,0.05215911034952185,1530.2186369991223,0.293404908013502,
fold,secondary_group,catboost,cb_c1,42,classic,none,5,513.4445216515687,0.6424013842460299,0.05529388823223171,1329.6227446327603,0.3506821636937672,
fold,secondary_group,catboost,cb_c1,42,weighted_tail,none,1,590.3324229234604,0.6494590210383593,0.05312085090425034,1705.3302657269019,0.43857171833961917,
fold,secondary_group,catboost,cb_c1,42,weighted_tail,none,2,578.1561219050949,0.6636694269704186,0.057176994742045496,1516.6586137813185,0.42202262991508604,
fold,secondary_group,catboost,cb_c1,42,weighted_tail,none,3,477.71520862284035,0.6588681758280925,0.052390655414401716,1332.025170219095,0.47089834186184987,
fold,secondary_group,catboost,cb_c1,42,weighted_tail,none,4,543.5823830570196,0.6679283444798271,0.05215911034952185,1552.3610943900344,0.3841578470071938,
fold,secondary_group,catboost,cb_c1,42,weighted_tail,none,5,513.9056357374146,0.6424013842460299,0.05529388823223171,1361.88581982747,0.45818575339252837,
fold,secondary_group,lightgbm,lgb_c1,42,classic,none,1,597.1124394815232,0.6080615396483025,0.055319349764535015,1736.952416105484,0.4116236620269335,
fold,secondary_group,lightgbm,lgb_c1,42,classic,none,2,588.2818111864142,0.6196467285069482,0.06026047312527062,1563.6729217811244,0.4014632584580438,
fold,secondary_group,lightgbm,lgb_c1,42,classic,none,3,486.21777873175995,0.6061818403515435,0.05518060029950404,1299.7102333662456,0.445691666639621,
fold,secondary_group,lightgbm,lgb_c1,42,classic,none,4,551.1273444550752,0.609322437606707,0.05463722120553937,1578.0083171907354,0.3483411074426908,
fold,secondary_group,lightgbm,lgb_c1,42,classic,none,5,521.5239628046471,0.5928148167708158,0.05818620220377743,1369.3139010065959,0.43939982669543026,
fold,secondary_group,lightgbm,lgb_c1,42,weighted_tail,none,1,597.316436725198,0.6080615396483025,0.055319349764535015,1736.7127494503761,0.3827226315940767,
fold,secondary_group,lightgbm,lgb_c1,42,weighted_tail,none,2,588.2900963713446,0.6196467285069482,0.06026047312527062,1554.6708449813514,0.39489614185106076,
fold,secondary_group,lightgbm,lgb_c1,42,weighted_tail,none,3,486.10800029667035,0.6061818403515435,0.05518060029950404,1291.8423195777518,0.4587890852933005,
fold,secondary_group,lightgbm,lgb_c1,42,weighted_tail,none,4,551.3390836998412,0.609322437606707,0.05463722120553937,1582.9954682934765,0.3530567751440535,
fold,secondary_group,lightgbm,lgb_c1,42,weighted_tail,none,5,521.6584678530637,0.5928148167708158,0.05818620220377743,1370.7148462800385,0.4516419659919035,
fold,secondary_group,xgboost,xgb_c1,42,classic,none,1,594.6981731932389,0.6196727275694182,0.05464813382352811,1733.4731912921013,0.3631694603700725,
fold,secondary_group,xgboost,xgb_c1,42,classic,none,2,584.1000364552318,0.6117279171836765,0.05922556490291676,1546.2119904082442,0.3778559221563066,
fold,secondary_group,xgboost,xgb_c1,42,classic,none,3,484.51852659199534,0.6149357269815365,0.05470912458162389,1291.1786003535635,0.44133094531446965,
fold,secondary_group,xgboost,xgb_c1,42,classic,none,4,548.4904456964667,0.6120927959953556,0.05400039637021668,1553.6013266494842,0.32387437310136125,
fold,secondary_group,xgboost,xgb_c1,42,classic,none,5,520.2342513624229,0.5958295627449693,0.05762709272255668,1359.6151266826091,0.40722344411905353,
fold,secondary_group,xgboost,xgb_c1,42,weighted_tail,none,1,594.5523169731741,0.6196727275694182,0.05464813382352811,1733.3102984540858,0.3695466484017282,
fold,secondary_group,xgboost,xgb_c1,42,weighted_tail,none,2,584.0497067663852,0.6117279171836765,0.05922556490291676,1551.1135054253932,0.37388112448638566,
fold,secondary_group,xgboost,xgb_c1,42,weighted_tail,none,3,484.58237262143825,0.6149357269815365,0.05470912458162389,1297.328163135619,0.4498279472484968,
fold,secondary_group,xgboost,xgb_c1,42,weighted_tail,none,4,548.7631695951193,0.6120927959953556,0.05400039637021668,1575.1815432244878,0.340094919959123,
fold,secondary_group,xgboost,xgb_c1,42,weighted_tail,none,5,520.1729104684648,0.5958295627449693,0.05762709272255668,1359.299230654884,0.40795559128007053,
